Ref,MidX(mm),MidY(mm),Layer,Rotation,Part
RAP1,20.100,8.000,top,0,150R
RAP2,22.000,8.000,top,0,36R
RAP3,23.900,8.000,top,0,150R
CA1,27.900,8.000,top,0,GRM1555C1H102JA01D
UA1,34.000,6.050,top,0,PHA-1H+
CA2,45.500,8.000,top,0,GRM1555C1H102JA01D
RAI,51.490,11.140,top,0,DNP
CA3,62.500,8.000,top,0,GRM1555C1H102JA01D
RAF,85.371,12.374,top,0,51R
RBP1,20.100,92.000,top,0,150R
RBP2,22.000,92.000,top,0,36R
RBP3,23.900,92.000,top,0,150R
CB1,27.900,92.000,top,0,GRM1555C1H102JA01D
UB1,34.000,93.950,top,0,PHA-1H+
CB2,45.500,92.000,top,0,GRM1555C1H102JA01D
RBI,51.490,95.140,top,0,DNP
CB3,62.500,92.000,top,0,GRM1555C1H102JA01D
RBF,85.371,87.626,top,0,51R
CC1,93.000,36.000,top,0,GRM1555C1H101JA01D
DCL,78.136,36.000,top,0,SMP1330-085LF
LDCL,81.996,33.807,top,0,0402HP-10NXGRW
CC2,66.100,36.000,top,0,GRM1555C1H101JA01D
CC3,49.000,36.000,top,0,GRM1555C1H101JA01D
RCP1,32.100,36.000,top,0,120R
RCP2,34.000,36.000,top,0,51R
RCP3,35.900,36.000,top,0,120R
DCC1,26.200,37.850,top,0,SMS7630-079LF
DCC2,28.800,37.850,top,0,SMS7630-079LF
CC4,24.000,36.000,top,0,GRM1555C1H101JA01D
RCF,37.000,40.374,top,0,51R
CD1,93.000,64.000,top,0,GRM1555C1H101JA01D
DDL,78.136,64.000,top,0,SMP1330-085LF
LDDL,81.996,66.193,top,0,0402HP-10NXGRW
CD2,66.100,64.000,top,0,GRM1555C1H101JA01D
CD3,49.000,64.000,top,0,GRM1555C1H101JA01D
RDP1,32.100,64.000,top,0,120R
RDP2,34.000,64.000,top,0,51R
RDP3,35.900,64.000,top,0,120R
DDC1,26.200,62.150,top,0,SMS7630-079LF
DDC2,28.800,62.150,top,0,SMS7630-079LF
CD4,24.000,64.000,top,0,GRM1555C1H101JA01D
RDF,37.000,59.626,top,0,51R
RAS,44.000,28.000,top,0,0R1
RAV,37.000,28.000,top,0,27R
UA3,30.500,24.850,top,0,AMS1117-5.0
CA5,36.000,21.700,top,0,10u
UA4,44.000,23.500,top,0,INA181A2IDBVR
CA80,58.300,18.424,top,0,100p
CA81,60.000,19.404,top,0,1n
CA82,61.700,19.404,top,0,100n
CA83,66.300,19.404,top,0,10u
CA90,39.900,18.424,top,0,100p
CA91,41.600,19.404,top,0,1n
CA92,43.300,19.404,top,0,100n
CA93,46.400,19.404,top,0,10u
RBS,44.000,72.000,top,0,0R1
RBV,37.000,72.000,top,0,27R
UB3,30.500,75.150,top,0,AMS1117-5.0
CB5,36.000,78.300,top,0,10u
UB4,44.000,76.500,top,0,INA181A2IDBVR
CB80,58.300,81.576,top,0,100p
CB81,60.000,80.596,top,0,1n
CB82,61.700,80.596,top,0,100n
CB83,66.300,80.596,top,0,10u
CB90,39.900,81.576,top,0,100p
CB91,41.600,80.596,top,0,1n
CB92,43.300,80.596,top,0,100n
CB93,46.400,80.596,top,0,10u
FBC,38.800,47.404,top,0,BLM15HD601SN1
CC80,52.000,46.424,top,0,100p
CC81,41.400,47.404,top,0,1n
CC82,43.100,47.404,top,0,100n
FBD,38.800,52.596,top,0,BLM15HD601SN1
CD80,52.000,53.576,top,0,100p
CD81,41.400,52.596,top,0,1n
CD82,43.100,52.596,top,0,100n
J1,9.000,4.600,top,0,2-way
F1,5.000,9.500,top,0,MF-MSMF150
D5,9.000,12.000,top,0,SMBJ15A
Q3,6.000,15.000,top,0,AO3401A
C29,9.000,19.000,top,0,22u
C212,12.000,19.000,top,0,22u
C214,14.500,19.000,top,0,100n
R1,10.500,21.750,top,0,100k
C1,13.000,21.750,top,0,100n
D6,15.500,21.750,top,0,BZX84C10
Q4,7.500,21.750,top,0,2N7002
R2,2.600,13.000,top,0,100k
R3,2.600,16.000,top,0,47k
RAT,93.696,15.774,top,0,51R
DA1,89.696,15.774,top,0,SMS7630-079LF
CAD0,87.911,15.774,top,0,100p
RAD1,86.211,15.774,top,0,10k
CAD2,84.511,15.774,top,0,10n
RAO,82.711,15.774,top,0,1k
RBT,93.696,84.226,top,0,51R
DB1,89.696,84.226,top,0,SMS7630-079LF
CBD0,87.911,84.226,top,0,100p
RBD1,86.211,84.226,top,0,10k
CBD2,84.511,84.226,top,0,10n
RBO,82.711,84.226,top,0,1k
RCT,47.825,42.274,top,0,51R
DC1,43.825,42.274,top,0,SMS7630-079LF
CCD0,42.040,42.274,top,0,100p
RCD1,40.340,42.274,top,0,10k
CCD2,38.640,42.274,top,0,10n
RCO,36.840,42.274,top,0,1k
RDT,47.825,57.726,top,0,51R
DD1,43.825,57.726,top,0,SMS7630-079LF
CDD0,42.040,57.726,top,0,100p
RDD1,40.340,57.726,top,0,10k
CDD2,38.640,57.726,top,0,10n
RDO,36.840,57.726,top,0,1k
RTA,55.750,11.600,top,0,NCP15XH103F03RC
RTB,55.750,88.400,top,0,NCP15XH103F03RC
J5,70.000,50.000,top,0,8x2 2.54 mm header
