Ref,MidX(mm),MidY(mm),Layer,Rotation,Part
CA1,6.400,58.000,top,0,GRM1555C1H101JA01D
DAL,19.736,58.000,top,0,SMP1330-085LF
LDAL,23.596,60.193,top,0,0402HP-10NXGRW
CA2,34.000,58.000,top,0,GRM1555C1H101JA01D
CA3,48.400,58.000,top,0,GRM1555C1H101JA01D
RAP1,64.100,58.000,top,0,120R
RAP2,66.000,58.000,top,0,51R
RAP3,67.900,58.000,top,0,120R
DAC1,70.700,56.150,top,0,SMS7630-079LF
DAC2,73.300,56.150,top,0,SMS7630-079LF
CA4,77.000,58.000,top,0,GRM1555C1H101JA01D
RAJ,67.582,62.000,top,0,51R
CB1,6.400,10.000,top,0,GRM1555C1H101JA01D
DBL,19.736,10.000,top,0,SMP1330-085LF
LDBL,23.596,7.807,top,0,0402HP-10NXGRW
CB2,34.000,10.000,top,0,GRM1555C1H101JA01D
CB3,48.400,10.000,top,0,GRM1555C1H101JA01D
RBP1,64.100,10.000,top,0,120R
RBP2,66.000,10.000,top,0,51R
RBP3,67.900,10.000,top,0,120R
DBC1,70.700,11.850,top,0,SMS7630-079LF
DBC2,73.300,11.850,top,0,SMS7630-079LF
CB4,77.000,10.000,top,0,GRM1555C1H101JA01D
RBJ,67.582,6.000,top,0,51R
RAS,44.000,41.000,top,0,1R0
RAV,38.500,41.000,top,0,82R
UA2,30.000,44.150,top,0,AMS1117-5.0
CA5,34.220,41.000,top,0,10u
UA3,44.000,37.200,top,0,INA181A2IDBVR
CA6,24.500,47.300,top,0,10u
CA7,22.000,47.300,top,0,100n
CA80,44.000,47.576,top,0,100p
CA81,45.700,44.796,top,0,1n
CA82,47.400,44.796,top,0,100n
CA83,52.000,44.796,top,0,10u
RBS,44.000,27.000,top,0,1R0
RBV,38.500,27.000,top,0,82R
UB2,30.000,23.850,top,0,AMS1117-5.0
CB5,34.220,27.000,top,0,10u
UB3,44.000,30.800,top,0,INA181A2IDBVR
CB6,24.500,20.700,top,0,10u
CB7,22.000,20.700,top,0,100n
CB80,44.000,20.424,top,0,100p
CB81,45.700,23.204,top,0,1n
CB82,47.400,23.204,top,0,100n
CB83,52.000,23.204,top,0,10u
J5,83.000,34.000,top,0,2x7 2.54 mm header
J1,88.000,47.000,top,0,2-way
F1,82.000,49.540,top,0,MF-MSMF100
D5,77.500,49.540,top,0,SMBJ15A
Q3,71.500,48.600,top,0,AO3401A
C20,81.000,44.500,top,0,22u
C21,84.200,44.500,top,0,100n
R1,68.000,40.500,top,0,100k
C1,65.500,40.500,top,0,100n
D6,63.000,40.500,top,0,BZX84C10
Q4,59.000,41.060,top,0,2N7002
R2,57.000,34.500,top,0,100k
R3,59.800,33.915,top,0,47k
RAT,54.000,65.685,top,0,51R
DA1,50.000,65.685,top,0,SMS7630-079LF
CAD0,48.215,65.685,top,0,100p
RAD1,46.515,65.685,top,0,10k
CAD2,44.815,65.685,top,0,10n
RAO,43.015,65.685,top,0,1k
RBT,54.000,2.315,top,0,51R
DB1,50.000,2.315,top,0,SMS7630-079LF
CBD0,48.215,2.315,top,0,100p
RBD1,46.515,2.315,top,0,10k
CBD2,44.815,2.315,top,0,10n
RBO,43.015,2.315,top,0,1k
RTA,52.000,54.000,top,0,NCP15XH103F03RC
RTB,52.000,14.000,top,0,NCP15XH103F03RC
