Ref,MidX(mm),MidY(mm),Layer,Rotation,Part
RAP1,8.600,74.000,top,0,150R
RAP2,10.500,74.000,top,0,36R
RAP3,12.400,74.000,top,0,150R
CA1,16.400,74.000,top,0,GRM1555C1H102JA01D
UA1,22.500,75.950,top,0,PHA-1H+
CA2,34.000,74.000,top,0,GRM1555C1H102JA01D
RAI,39.990,77.155,top,0,DNP
CA3,51.000,74.000,top,0,GRM1555C1H102JA01D
RAF,93.000,64.400,top,0,51R
RBP1,8.600,10.000,top,0,150R
RBP2,10.500,10.000,top,0,36R
RBP3,12.400,10.000,top,0,150R
CB1,16.400,10.000,top,0,GRM1555C1H102JA01D
UB1,22.500,8.050,top,0,PHA-1H+
CB2,34.000,10.000,top,0,GRM1555C1H102JA01D
RBI,39.990,13.155,top,0,DNP
CB3,51.000,10.000,top,0,GRM1555C1H102JA01D
RBF,93.000,19.600,top,0,51R
RAS,44.000,51.000,top,0,0R1
RAV,38.500,51.000,top,0,27R
UA3,30.000,54.150,top,0,AMS1117-5.0
CA5,34.220,51.000,top,0,10u
UA4,44.000,47.200,top,0,INA181A2IDBVR
CA6,25.000,57.300,top,0,10u
CA7,22.500,57.300,top,0,100n
CA80,46.800,63.576,top,0,100p
CA81,48.500,60.796,top,0,1n
CA82,50.200,60.796,top,0,100n
CA83,54.800,60.796,top,0,10u
CA90,28.400,63.576,top,0,100p
CA91,26.700,60.796,top,0,1n
CA92,25.000,60.796,top,0,100n
CA93,17.000,60.796,top,0,10u
RBS,44.000,33.000,top,0,0R1
RBV,38.500,33.000,top,0,27R
UB3,30.000,29.850,top,0,AMS1117-5.0
CB5,34.220,33.000,top,0,10u
UB4,44.000,36.800,top,0,INA181A2IDBVR
CB6,25.000,26.700,top,0,10u
CB7,22.500,26.700,top,0,100n
CB80,46.800,20.424,top,0,100p
CB81,48.500,23.204,top,0,1n
CB82,50.200,23.204,top,0,100n
CB83,54.800,23.204,top,0,10u
CB90,28.400,20.424,top,0,100p
CB91,26.700,23.204,top,0,1n
CB92,25.000,23.204,top,0,100n
CB93,17.000,23.204,top,0,10u
J5,91.000,42.000,top,0,2x7 2.54 mm header
J1,94.000,57.000,top,0,2-way
F1,89.500,59.540,top,0,MF-MSMF150
D5,85.500,59.540,top,0,SMBJ15A
Q3,79.500,58.600,top,0,AO3401A
C20,84.000,55.000,top,0,22u
C21,87.200,55.000,top,0,22u
C22,89.800,55.000,top,0,100n
R1,76.000,50.500,top,0,100k
C1,73.500,50.500,top,0,100n
D6,71.000,50.500,top,0,BZX84C10
Q4,67.000,51.060,top,0,2N7002
R2,61.000,50.120,top,0,100k
R3,63.500,50.120,top,0,47k
RAT,82.196,69.226,top,0,51R
DA1,86.196,69.226,top,0,SMS7630-079LF
CAD0,87.981,69.226,top,0,100p
RAD1,89.681,69.226,top,0,10k
CAD2,91.381,69.226,top,0,10n
RAO,93.181,69.226,top,0,1k
RBT,82.196,14.774,top,0,51R
DB1,86.196,14.774,top,0,SMS7630-079LF
CBD0,87.981,14.774,top,0,100p
RBD1,89.681,14.774,top,0,10k
CBD2,91.381,14.774,top,0,10n
RBO,93.181,14.774,top,0,1k
RTA,52.000,70.000,top,0,NCP15XH103F03RC
RTB,52.000,14.000,top,0,NCP15XH103F03RC
